nr,Tijd,Temp.(Â°C),Vochtigheid(%) 
1,10:30:05,None,None 
2,10:30:10,23.0,53 
3,10:30:15,23.0,53 
4,10:30:20,23.0,53 
5,10:30:25,23.0,53 
6,10:30:30,23.0,53 
7,10:30:35,23.0,53 
8,10:30:40,23.0,53 
9,10:30:45,23.0,53 
10,10:30:50,23.0,53 
11,10:30:55,23.0,53 
12,10:31:00,23.0,53 
13,10:31:05,23.0,53 
14,10:31:10,23.0,53 
15,10:31:15,23.0,53 
16,10:31:20,23.0,53 
17,10:31:25,23.0,53 
18,10:31:30,23.0,53 
19,10:31:35,23.0,53 
20,10:31:40,23.0,53 
21,10:31:45,23.0,53 
22,10:31:50,23.0,53 
23,10:31:55,23.0,53 
24,10:32:00,23.0,53 
25,10:32:05,23.0,53 
26,10:32:10,23.0,53 
27,10:32:15,23.0,53 
28,10:32:20,23.0,53 
29,10:32:25,23.0,53 
30,10:32:30,23.0,53 
31,10:32:35,23.0,53 
32,10:32:40,23.0,53 
33,10:32:45,23.0,53 
34,10:32:50,23.0,53 
35,10:32:55,23.0,53 
36,10:33:00,23.0,53 
37,10:33:05,23.0,53 
38,10:33:10,23.0,53 
39,10:33:15,23.0,53 
40,10:33:20,23.0,53 
41,10:33:25,23.0,53 
42,10:33:30,23.0,53 
43,10:33:35,23.0,53 
44,10:33:40,23.0,53 
45,10:33:45,23.0,53 
46,10:33:50,23.0,53 
47,10:33:55,23.0,53 
48,10:34:00,23.0,53 
49,10:34:05,23.0,53 
50,10:34:10,23.0,53 
51,10:34:15,23.0,53 
52,10:34:20,23.0,53 
53,10:34:25,23.0,53 
54,10:34:30,23.0,53 
55,10:34:35,23.0,53 
56,10:34:40,23.0,53 
57,10:34:45,23.0,53 
58,10:34:50,23.0,53 
59,10:34:55,23.0,53 
60,10:35:00,23.0,53 
61,10:35:05,23.0,53 
62,10:35:10,23.0,53 
63,10:35:15,23.0,53 
64,10:35:20,23.0,53 
65,10:35:25,23.0,53 
66,10:35:30,23.0,53 
67,10:35:35,23.0,53 
68,10:35:40,23.0,53 
69,10:35:45,23.0,53 
70,10:35:50,23.0,53 
71,10:35:55,23.0,53 
72,10:36:00,23.0,53 
73,10:36:05,23.0,53 
74,10:36:10,23.0,53 
75,10:36:15,23.0,53 
76,10:36:20,23.0,53 
77,10:36:25,23.0,53 
78,10:36:30,23.0,53 
79,10:36:35,23.0,53 
80,10:36:40,23.0,53 
81,10:36:45,23.0,53 
82,10:36:50,23.0,53 
83,10:36:55,23.0,53 
84,10:37:00,23.0,53 
85,10:37:05,23.0,53 
86,10:37:10,23.0,53 
87,10:37:15,23.0,53 
88,10:37:20,23.0,53 
89,10:37:25,23.0,53 
90,10:37:30,23.1,53 
91,10:37:35,23.1,53 
92,10:37:40,23.1,53 
93,10:37:45,23.1,53 
94,10:37:50,23.1,53 
95,10:37:55,23.1,53 
96,10:38:00,23.1,53 
97,10:38:05,23.1,53 
98,10:38:10,23.1,53 
99,10:38:15,23.1,53 
